Etunimi;Lkm 2023;Lkm 2021;Yleisyysluokka
A;26;25;1
A.;34;24;1
Aabel;120;95;2
Aabraham;71;72;1
Aabram;19;18;1
Aabrami;9;9;0
Aadam;101;90;2
Aadan;18;17;1
Aadel;18;14;1
Aaden;9;6;0
Aadi;18;15;1
Aadiel;25;23;1
Aadil;6;6;0
Aadit;5;0;0
Aadolf;398;417;2
Aage;20;21;1
Aahil;10;7;1
Aake;437;411;2
Aakke;5;5;0
Aaku;51;48;1
Aakusti;5;5;0
Aale;212;191;2
Aali;7;7;0
Aallos;5;5;0
Aalo;6;0;0
Aalto;99;79;1
Aamer;8;6;0
Aamir;8;7;0
Aamo;9;7;0
Aamon;9;7;0
Aamos;1184;980;3
Aamu;7;0;0
Aamunvalo;10;9;1
Aanon;8;7;0
Aapa;11;11;1
Aape;26;23;1
Aapel;12;12;1
Aapeli;2393;2323;3
Aapi;68;61;1
Aapo;6719;6453;3
Aapo-Eemeli;5;5;0
Aapo-Matti;11;11;1
Aaponpoika;12;12;1
Aappi;11;11;1
Aappo;388;385;2
Aapraham;28;30;1
Aapram;21;21;1
Aaprami;147;145;2
Aapro;38;36;1
Aarav;14;10;1
Aare;67;60;1
Aares;8;8;0
Aaret;43;38;1
Aaretti;234;216;2
Aari;64;61;1
Aario;5;5;0
Aariz;6;5;0
Aarne;8751;8858;3
Aarnenpoika;18;18;1
Aarni;3301;2893;3
Aarnio;11;9;1
Aarno;2566;2694;3
Aarnonpoika;6;6;0
Aaro;7776;7706;3
Aaro-Matti;8;8;0
Aaron;7200;6703;3
Aarón;7;7;0
Aaroni;35;36;1
Aaronpoika;20;19;1
Aarre;5440;5386;3
Aarret;5;0;0
Aarretti;15;15;1
Aarto;300;321;2
Aarush;9;6;0
Aatami;420;448;2
Aate;348;339;2
Aati;261;243;2
Aato;25;23;1
Aatos;8628;8070;3
Aatovi;5;5;0
Aatte;7;7;0
Aatto;853;893;2
Aattu;5;5;0
Aatu;5402;5213;3
Aatu-Eemeli;9;9;0
Aatu-Oskari;6;6;0
Aavo;18;13;1
Aayan;10;8;1
Aayush;6;5;0
Abaas;13;12;1
Abakar;5;5;0
Aban;5;0;0
Abas;24;20;1
Abayomi;9;7;0
Abbas;217;186;2
Abbe;40;33;1
Abbood;8;7;0
Abd;64;52;1
Abdal;5;0;0
Abdala;7;6;0
Abdalla;56;52;1
Abdallah;82;78;1
Abdalle;5;5;0
Abdel;79;80;1
Abdelali;5;5;0
Abdelatif;5;5;0
Abdelaziz;36;33;1
Abdelfattah;6;6;0
Abdelghani;11;11;1
Abdelhadi;5;0;0
Abdelhafid;6;6;0
Abdelhak;6;6;0
Abdelhakim;8;7;0
Abdelhamid;19;18;1
Abdelilah;6;5;0
Abdeljalil;7;7;0
Abdelkader;19;18;1
Abdelkarim;20;20;1
Abdelkrim;9;9;0
Abdellah;29;28;1
Abdellatif;18;17;1
Abdelmajid;13;13;1
Abdelmalek;9;9;0
Abdelrahman;24;20;1
Abder;5;5;0
Abderahman;6;6;0
Abderrahim;16;15;1
Abderrahman;12;11;1
Abderrahmane;23;22;1
Abderrazak;6;5;0
Abdeslam;5;5;0
Abdi;655;622;2
Abdiasis;46;42;1
Abdiaziiz;5;5;0
Abdiaziz;65;63;1
Abdifatah;118;114;2
Abdifitaah;7;7;0
Abdifitah;11;11;1
Abdigadir;6;6;0
Abdigani;10;9;1
Abdihafid;0;5;0
Abdihakiim;11;8;1
Abdihakim;37;33;1
Abdihakin;17;15;1
Abdihamid;18;17;1
Abdijabar;6;6;0
Abdijibaar;5;5;0
Abdikaafi;5;5;0
Abdikadar;9;7;0
Abdikadir;50;45;1
Abdikafi;12;12;1
Abdikani;14;14;1
Abdikariim;11;10;1
Abdikariin;5;0;0
Abdikarim;65;55;1
Abdikarin;28;27;1
Abdilaahi;7;6;0
Abdiladif;13;12;1
Abdilahi;14;13;1
Abdillahi;28;27;1
Abdimaalik;9;8;0
Abdi-Mahad;5;0;0
Abdimalik;38;35;1
Abdinajib;5;0;0
Abdinasir;79;71;1
Abdinur;11;11;1
Abdiqaadir;10;10;1
Abdiqadar;8;7;0
Abdiqadir;5;5;0
Abdiqafar;6;5;0
Abdiqani;38;35;1
Abdirahiim;6;5;0
Abdirahim;48;45;1
Abdirahmaan;25;23;1
Abdirahman;566;525;2
Abdi-Rahman;5;5;0
Abdirashid;92;81;1
Abdirashiid;10;10;1
Abdirazak;17;16;1
Abdirisaaq;14;14;1
Abdirisak;63;61;1
Abdirisaq;45;40;1
Abdirizak;83;80;1
Abdirizaq;12;11;1
Abdisalaan;6;6;0
Abdisalam;42;40;1
Abdisalan;14;13;1
Abdisamad;16;14;1
Abdisamed;9;9;0
Abdishakur;32;24;1
Abdishakuur;9;9;0
Abdiwahaab;11;10;1
Abdiwahab;22;18;1
Abdiwahid;15;13;1
Abdiwali;31;28;1
Abdiweli;23;21;1
Abdo;10;6;1
Abdol;5;0;0
Abdollah;7;6;0
Abdou;15;14;1
Abdoul;5;5;0
Abdoulaye;11;10;1
Abdoulie;15;14;1
Abdu;11;8;1
Abdukadir;24;22;1
Abdul;236;219;2
Abdula;6;6;0
Abdulaahi;23;22;1
Abdulahi;73;66;1
Abdulazeez;14;12;1
Abdulaziz;30;27;1
Abdulelah;5;0;0
Abdulfatah;10;10;1
Abdulgaadir;6;6;0
Abdulgadir;19;18;1
Abdulghani;5;5;0
Abdulhadi;14;8;1
Abdulhafedh;10;0;1
Abdulhakim;10;10;1
Abdulhamid;6;8;0
Abdulhaq;5;0;0
Abdulhussain;8;8;0
Abdul-Hussain;6;6;0
Abdulhussein;11;5;1
Abduljabbar;15;7;1
Abdulkader;10;7;1
Abdulkadhim;5;0;0
Abdulkadir;253;239;2
Abdulkareem;25;20;1
Abdulkarim;30;23;1
Abdulkhaleq;7;0;0
Abdulkhaliq;5;5;0
Abdulla;50;46;1
Abdullaahi;22;22;1
Abdullah;350;280;2
Abdullahi;613;570;2
Abdullatif;6;5;0
Abdul-Latif;8;8;0
Abdulle;27;26;1
Abdulmajid;8;6;0
Abdulmalik;11;11;1
Abdul-Malik;9;8;0
Abdulqader;19;9;1
Abdulqadir;40;38;1
Abdulrahim;8;8;0
Abdulrahman;101;65;2
Abdulrazak;7;0;0
Abdulrazzaq;19;11;1
Abdulridha;10;6;1
Abdulsalam;6;0;0
Abdulsattar;10;0;1
Abdulwahab;14;10;1
Abdulwahhab;8;0;0
Abdulwahid;15;11;1
Abduqadir;7;7;0
Abdur;6;5;0
Abdurahim;8;8;0
Abdurahman;35;32;1
Abdurrahim;7;8;0
Abdurrahman;34;31;1
Abed;59;44;1
Abedin;11;11;1
Abel;283;248;2
Abhinav;7;5;0
Abhishek;6;5;0
Abid;14;14;1
Abiel;88;85;1
Abiodun;19;18;1
Abiola;7;6;0
Abir;8;6;0
Abner;33;34;1
Abokor;5;0;0
Abolfazl;9;9;0
Abou;7;7;0
Abraham;361;358;2
Abram;87;87;1
Abrami;5;5;0
Abrar;11;9;1
Abshir;51;50;1
Abu;35;35;1
Abuagla;6;0;0
Abubacarr;5;5;0
Abubakar;44;40;1
Abubaker;5;5;0
Abubakr;10;10;1
Abukar;83;76;1
Abul;11;10;1
Abuukar;11;9;1
Ace;11;7;1
Achille;13;11;1
Achilles;14;14;1
Achim;6;5;0
Achraf;8;8;0
Acke;7;7;0
Ada;7;0;0
Adalbert;13;13;1
Adam;2015;1800;3
Ádám;7;6;0
Adama;11;10;1
Adan;72;63;1
Adar;18;14;1
Ade;13;13;1
Adebayo;11;10;1
Adebowale;5;0;0
Adedamola;7;5;0
Adedayo;6;5;0
Adedeji;6;5;0
Adeel;8;5;0
Adekunle;17;15;1
Adel;95;85;1
Adem;66;56;1
Ademola;10;9;1
Aden;130;117;2
Adeola;14;11;1
Adewale;14;13;1
Adeyemi;10;9;1
Adeyinka;6;6;0
Adham;13;11;1
Adi;45;40;1
Adian;6;0;0
Adib;9;6;0
Adiel;311;298;2
Adil;109;100;2
Adin;7;6;0
Adis;13;11;1
Adison;0;5;0
Aditya;14;14;1
Adjei;8;7;0
Admir;11;8;1
Adnaan;20;17;1
Adnan;180;146;2
Adnane;7;7;0
Ado;6;5;0
Adolf;923;988;2
Adolfo;17;16;1
Adolphe;6;5;0
Adom;8;7;0
Adonai;5;0;0
Adonis;17;14;1
Adriaan;11;11;1
Adrian;1315;1182;3
Adrián;19;16;1
Adriano;37;31;1
Adrianus;7;7;0
Adriatik;6;6;0
Adriel;20;16;1
Adrien;29;27;1
Adu;6;5;0
Adyan;7;7;0
Aedan;7;6;0
Aeon;5;5;0
Affan;7;7;0
Afonso;13;11;1
Afrim;25;23;1
Afshin;13;11;1
Aftab;5;5;0
Agane;0;5;0
Agapetus;7;7;0
Agathon;20;17;1
Agaton;7;8;0
Age;11;11;1
Ager;7;7;0
Agha;0;5;0
Agim;22;21;1
Agit;6;5;0
Agnar;9;7;0
Agne;5;0;0
Agner;6;7;0
Agon;14;13;1
Agostino;16;16;1
Agron;16;15;1
Agust;7;7;0
Agustin;18;16;1
Agyemang;5;0;0
Ahad;12;13;1
Aharon;6;6;0
Ahdinpoika;6;7;0
Ahma;11;9;1
Ahmad;528;440;2
Ahmat;5;0;0
Ahmed;2020;1767;3
Ahmedei;5;0;0
Ahmedey;5;5;0
Ahmed-Nasir;5;0;0
Ahmednuor;5;0;0
Ahmednur;13;9;1
Ahmed-Nur;11;11;1
Ahmet;94;89;1
Ahnaf;7;0;0
Ahsan;10;8;1
Ahti;5339;5465;3
Ahtinpoika;7;7;0
Ahto;206;190;2
Ahvo;40;42;1
Aidan;87;82;1
Aiden;85;63;1
Aidin;8;7;0
Áigin;5;5;0
Aiham;12;0;1
Aihe;10;10;1
Ailo;61;59;1
Ailu;37;35;1
Áilu;16;12;1
Aiman;41;37;1
Aimé;9;8;0
Aimo;5715;6044;3
Aimonpoika;10;10;1
Ain;5;5;0
Aino;11;5;1
Aito;117;112;2
Aitor;10;9;1
Aiub;5;0;0
Aivar;25;22;1
Aivo;8;6;0
Ajan;28;22;1
Ajay;8;6;0
Ajdin;10;10;1
Ajibola;6;6;0
Ajmal;12;11;1
Akam;18;18;1
Akar;6;6;0
Akash;10;9;1
Akatius;12;10;1
Akbar;28;28;1
Ake;38;40;1
Akeem;7;7;0
Aki;8784;8825;3
Akif;23;22;1
Aki-Juhani;6;7;0
Aki-Jussi;14;14;1
Akil;19;17;1
Akilles;120;121;2
Akim;25;23;1
Aki-Markus;6;6;0
Aki-Matti;41;42;1
Akin;11;11;1
Akinpoika;59;57;1
Akio;7;7;0
Akipekka;6;6;0
Aki-Pekka;56;56;1
Aki-Petri;13;14;1
Aki-Petteri;101;103;2
Akira;43;35;1
Akito;9;8;0
Aki-Ville;8;8;0
Akke;16;16;1
Akmeeli;6;6;0
Ako;36;35;1
Akol;6;6;0
Ákos;10;9;1
Akram;118;98;2
Aksel;1059;988;3
Akseli;12085;11764;4
Akselinpoika;12;12;1
Aksu;139;137;2
Aku;3252;3232;3
Aku-Joonas;0;5;0
Aku-Kalle;5;5;0
Aku-Kimmo;6;6;0
Aku-Matias;7;7;0
Aku-Matti;23;23;1
Akunpoika;12;10;1
Aku-Oskari;6;6;0
Aku-Pekka;38;40;1
Aku-Petteri;43;43;1
Aku-Santeri;5;5;0
Akusti;441;434;2
Aku-Ville;15;15;1
Akwasi;8;8;0
Al;51;44;1
Alaa;54;42;1
Aladar;6;6;0
Aladdin;6;0;0
Aladin;7;7;0
Alagie;5;0;0
Alain;66;68;1
Alam;15;12;1
Alan;311;291;2
Aland;11;8;1
Alar;8;9;0
Alari;39;39;1
Alaric;16;14;1
Alarik;2117;2125;3
Alas;9;9;0
Alasdair;7;7;0
Alastair;7;5;0
Alawi;12;12;1
Alban;41;38;1
Albanus;15;13;1
Albert;5296;5156;3
Albertino;5;5;0
Alberto;216;205;2
Albertti;43;46;1
Albertto;8;8;0
Albertus;6;6;0
Albi;5;5;0
Albiin;0;5;0
Albiinus;10;11;1
Albin;1494;1474;3
Albino;6;0;0
Albinus;71;73;1
Albion;29;26;1
Albrecht;10;10;1
Albus;13;11;1
Alcides;5;5;0
Aldeen;5;0;0
Alden;13;11;1
Aldin;32;31;1
Aldo;42;35;1
Aldur;16;17;1
Ale;102;106;2
Alec;313;296;2
Alef;14;14;1
Alejandro;171;162;2
Alek;87;76;1
Aleko;8;7;0
Aleks;266;260;2
Aleksa;5;6;0
Aleksandar;36;33;1
Aleksander;3320;3160;3
Aleksanderi;5;5;0
Aleksandr;642;567;2
Aleksandra;5;0;0
Aleksandre;9;7;0
Aleksandros;21;21;1
Aleksandrovich;8;8;0
Aleksandrovits;5;5;0
Aleksandrovitsh;5;0;0
Aleksandrs;5;5;0
Aleksanter;16;14;1
Aleksanteri;13388;13070;4
Aleksei;703;665;2
Alekseij;10;9;1
Aleksej;34;33;1
Aleksey;18;16;1
Aleksi;40612;40241;4
Aleksi-Matias;6;6;0
Aleksinpoika;32;28;1
Aleksios;0;5;0
Aleksis;1895;1818;3
Aleksius;70;68;1
Alem;10;10;1
Alen;28;27;1
Ales;23;23;1
Alessandro;177;175;2
Alessio;56;51;1
Alex;6175;5862;3
Alexander;15187;14358;4
Alexandr;100;95;2
Alexandra;9;0;0
Alexandre;339;335;2
Alexandro;29;27;1
Alexandros;122;114;2
Alexandrovich;8;6;0
Alexandru;42;40;1
Alexanteri;53;52;1
Alexei;216;206;2
Alexej;40;41;1
Alexey;204;189;2
Alexi;327;305;2
Alexinpoika;5;5;0
Alexios;11;10;1
Alexis;366;355;2
Alexius;27;29;1
Alexsander;84;79;1
Alexsandro;5;0;0
Alexsanteri;14;14;1
Alex-Santeri;6;6;0
Alf;1147;1167;3
Alfa;12;12;1
Alf-Erik;20;21;1
Alfie;18;15;1
Alf-Johan;7;7;0
Alfons;757;761;2
Alfonso;47;45;1
Alf-Peter;5;5;0
Alfred;2972;2871;3
Alfredo;41;42;1
Alfret;5;5;0
Algot;208;202;2
Algoth;5;5;0
Alhassan;5;5;0
Alho;29;33;1
Ali;3095;2785;3
Aliaksandr;8;6;0
Alias;9;8;0
Alieu;19;16;1
Alija;5;0;0
Alim;13;10;1
Alin;12;11;1
Alinpoika;6;6;0
Ali-Nur;5;0;0
Alioune;6;6;0
Alireza;44;33;1
Alistair;21;18;1
Alix;7;7;0
Alje;11;11;1
Alkarim;8;7;0
Alku;10;8;1
Alla;9;8;0
Allah;9;8;0
Allal;5;5;0
Allan;10282;10455;4
Alland;5;5;0
Allani;58;60;1
Allanti;6;6;0
Allar;5;0;0
Allari;17;17;1
Allen;56;53;1
Allu;47;44;1
Almar;21;15;1
Almari;5;5;0
Almer;16;18;1
Almin;6;6;0
Almir;24;23;1
Almo;5;5;0
Almos;6;5;0
Álmos;5;0;0
Alo;7;7;0
Alois;20;18;1
Alon;17;16;1
Alonso;30;25;1
Alonzo;18;17;1
Aloys;5;0;0
Aloysius;7;6;0
Alp;19;14;1
Alparslan;6;6;0
Alper;32;31;1
Alperen;5;5;0
Alpert;19;18;1
Alpertti;154;155;2
Alpha;19;18;1
Alphonse;5;5;0
Alpi;220;205;2
Alpiin;25;27;1
Alpin;12;12;1
Alpo;4474;4698;3
Alponpoika;7;7;0
Alrik;21;18;1
Altair;5;5;0
Altan;6;6;0
Altin;13;12;1
Altis;7;6;0
Altti;1051;1053;3
Alva;9;7;0
Alvar;5832;5046;3
Alvari;1440;1352;3
Alvaro;58;52;1
Álvaro;9;8;0
Alve;46;39;1
Alvi;240;236;2
Alvian;20;18;1
Alvin;587;487;2
Alwan;18;17;1
Alwar;30;26;1
Alwari;8;7;0
Alwin;38;33;1
Aly;15;14;1
Amaar;11;9;1
Amadeo;15;13;1
Amadeus;320;297;2
Amado;7;5;0
Amadou;31;26;1
Amadu;6;6;0
Aman;29;27;1
Amanda;7;0;0
Amandeep;8;7;0
Amandus;24;22;1
Amani;17;15;1
Amanj;9;9;0
Amanuel;12;13;1
Amanullah;7;6;0
Amar;91;84;1
Amare;5;5;0
Amarjit;7;7;0
Amaru;21;17;1
Amatius;5;5;0
Amatus;9;9;0
Ambjörn;5;5;0
Ambrosius;24;21;1
Amed;9;8;0
Amedeo;10;8;1
Ameen;14;13;1
Ameer;26;16;1
Amel;15;13;1
Amelia;5;0;0
Amen;7;6;0
Amer;61;47;1
Amgad;6;0;0
Ami;249;247;2
Amiel;20;16;1
Amiin;41;36;1
Amiir;30;22;1
Amil;5;5;0
Amin;349;322;2
Amine;45;41;1
Amir;531;469;2
Amirhossein;5;0;0
Amit;24;24;1
Amjad;34;29;1
Ammaar;6;5;0
Ammar;86;63;1
Amon;32;28;1
Amor;23;22;1
Amos;1017;847;3
Amr;21;19;1
