Etunimi;Lkm 2023;Lkm 2021;Yleisyysluokka
A;21;17;1
A.;23;20;1
Aada;10329;9654;4
Aada-Amanda;5;5;0
Aada-Emilia;21;20;1
Aadaliina;15;15;1
Aadalmiina;12;12;1
Aada-Lotta;5;5;0
Aada-Mari;5;5;0
Aada-Maria;58;57;1
Aadan;19;19;1
Aada-Olivia;7;7;0
Aada-Sofia;43;41;1
Aadolfiina;19;19;1
Aagot;9;10;0
Aaisha;9;7;0
Aala;25;23;1
Aale;18;14;1
Aali;10;10;1
Aalia;48;41;1
Aaliya;18;17;1
Aaliyah;45;36;1
Aallotar;437;440;2
Aalo;18;15;1
Aalto;15;9;1
Aami;9;0;0
Aamina;23;20;1
Aamos;6;0;0
Aamu;1220;1112;3
Aamu-Ilona;5;6;0
Aamurusko;5;5;0
Aamu-Tuuli;5;5;0
Aamutähti;13;12;1
Aana;77;72;1
Aara;5;6;0
Aaria;67;55;1
Aarika;20;20;1
Aarikka;5;5;0
Aarla;11;13;1
Aarna;14;12;1
Aarni;19;13;1
Aaro;7;0;0
Aarohi;5;0;0
Aaron;14;9;1
Aarre;5;0;0
Aarya;5;0;0
Aasa;34;30;1
Aasha;5;5;0
Aasia;6;6;0
Aasiya;11;8;1
Aata;13;12;1
Aatos;6;0;0
Aava;4381;3675;3
Aava-Maria;5;5;0
Aavi;5;5;0
Aaya;10;8;1
Aba;13;12;1
Abakar;5;5;0
Abas;5;6;0
Abbas;55;44;1
Abby;13;12;1
Abd;25;23;1
Abdalla;20;18;1
Abdallah;23;20;1
Abdel;11;11;1
Abdelrazzaq;5;5;0
Abdi;442;424;2
Abdiasis;23;22;1
Abdiaziz;26;18;1
Abdifatah;44;40;1
Abdifitah;5;0;0
Abdihakiin;5;0;0
Abdihakim;13;11;1
Abdihakin;7;6;0
Abdihamid;6;6;0
Abdikadir;30;27;1
Abdikani;6;6;0
Abdikarim;34;29;1
Abdikarin;24;24;1
Abdilaahi;6;6;0
Abdiladif;5;5;0
Abdilahi;8;9;0
Abdillahi;25;25;1
Abdimalik;5;0;0
Abdinasir;25;19;1
Abdinur;8;8;0
Abdiqadar;5;5;0
Abdiqani;9;8;0
Abdirahim;16;16;1
Abdirahman;170;161;2
Abdirashid;65;61;1
Abdirazak;9;9;0
Abdirisaaq;6;5;0
Abdirisak;25;24;1
Abdirisaq;34;28;1
Abdirizak;49;45;1
Abdisalam;22;20;1
Abdisalan;9;9;0
Abdisatar;5;0;0
Abdishakur;15;13;1
Abdiwahaab;5;5;0
Abdiwahab;16;11;1
Abdiwahid;7;6;0
Abdiwali;19;16;1
Abdiweli;11;11;1
Abdu;7;0;0
Abdukadir;5;5;0
Abdul;39;35;1
Abdulahi;15;14;1
Abdulaziz;11;11;1
Abdulgadir;9;9;0
Abdul-Hussain;6;6;0
