Sukunimi;Lkm 2023; Lkm 2021;Yleisyysluokka
Aadan;39;34;1
Aakala;62;61;1
Aakko;216;216;2
Aakkula;65;65;1
Aakula;158;158;2
Aali;57;57;1
Aalinniemi;20;20;1
Aallonen;30;31;1
Aallonranta;23;23;1
Aallos;32;29;1
Aalo;27;27;1
Aaltio;200;199;2
Aalto;8453;8515;3
Aaltojärvi;50;51;1
Aaltokoski;78;78;1
Aaltola;218;216;2
Aaltomaa;53;52;1
Aaltonen;9535;9663;3
Aalto-Setälä;119;115;2
Aaltovirta;36;36;1
Aamurusko;22;21;1
Aamuvuori;44;45;1
Aapa;21;21;1
Aapajärvi;80;78;1
Aapakari;21;21;1
Aapalahti;38;38;1
Aapio;56;57;1
Aapola;38;37;1
Aappola;32;34;1
Aapro;271;273;2
Aareskoski;26;24;1
Aarikka;115;119;2
Aarinen;33;33;1
Aario;22;22;1
Aarne;50;51;1
Aarni;115;115;2
Aarniala;21;21;1
Aarnikoivu;63;61;1
Aarninsalo;23;23;1
Aarnio;2042;2064;3
Aarniosalo;20;0;1
Aarniovuori;37;37;1
Aarnipuro;42;42;1
Aarnisalo;56;57;1
Aarnivala;23;22;1
Aarnivirta;30;32;1
Aarnivuo;25;25;1
Aarnos;35;35;1
Aarras;29;28;1
Aarrekangas;41;42;1
Aarrekorpi;34;37;1
Aarrelampi;22;22;1
Aarresuo;36;37;1
Aarrevaara;24;23;1
Aarrevuo;22;22;1
Aarto;53;56;1
Aartola;30;29;1
Aartolahti;101;103;2
Aas;22;23;1
Aatamila;37;37;1
Aatola;108;109;2
Aatsinki;210;208;2
Aava;30;30;1
Aavaharju;34;33;1
Aavajoki;24;23;1
Aavamäki;0;20;0
Aavanen;25;25;1
Aavikko;126;130;2
Abazi;57;51;1
Abbas;84;67;1
Abbasi;46;38;1
Abbors;23;23;1
Abdalla;56;52;1
Abdallah;33;34;1
Abdi;659;606;2
Abdi Ahmed;0;23;0
Abdi Ali;21;0;1
Abdikarim;25;24;1
Abdillahi;40;40;1
Abdirahim;24;0;1
Abdirahman;88;85;1
Abdo;22;0;1
Abdollahi;20;0;1
Abdul;22;22;1
Abdulahi;33;29;1
Abdulkadir;77;74;1
Abdulla;49;50;1
Abdullah;181;162;2
Abdullahi;266;236;2
Abdulle;110;106;2
Abdulrahim;23;21;1
Abed;33;0;1
Abid;25;23;1
Abraham;29;29;1
Abrahamsson;250;252;2
Abramov;21;0;1
Abramova;21;0;1
Abshir;29;26;1
Abubakar;23;0;1
Abukar;94;85;1
Acar;55;53;1
Achren;22;22;1
Achrén;181;182;2
Ackalin;20;22;1
Ackman;24;25;1
Ackrén;23;23;1
Adam;161;142;2
Adams;74;73;1
Adamsson;118;118;2
Adan;91;87;1
Adel;49;42;1
Ademi;102;87;2
Aden;246;235;2
Adenius;21;21;1
Adhikari;54;45;1
Adler;143;140;2
Adlercreutz;28;28;1
Adolfsen;25;24;1
Adolfsson;118;119;2
Adow;28;26;1
Aejmelaeus;42;42;1
Aerikkala;55;54;1
Aerila;23;23;1
af Björksten;22;21;1
af Forselles;21;22;1
af Heurlin;36;36;1
af Hällström;137;133;2
af Ursin;46;46;1
Afflekt;35;32;1
Aflatuni;21;0;1
Aflecht;74;75;1
Afshar;21;21;1
Afzali;22;21;1
Agge;90;89;1
Ahanen;27;29;1
Ahava;206;198;2
Ahde;222;221;2
Ahdesalo;24;24;1
Ahdesmäki;24;24;1
Aherto;49;48;1
Ahinko;51;49;1
Ahjokivi;24;27;1
Ahjolinna;39;39;1
Ahjoniemi;91;90;1
Ahjopalo;0;22;0
Ahjosaari;21;21;1
Ahl;123;119;2
Ahlamaa;24;27;1
Ahlberg;487;480;2
Ahlblad;104;106;2
Ahlbom;140;144;2
Ahlbäck;168;174;2
Ahlers;0;20;0
Ahlfors;746;744;2
Ahlgren;1090;1105;3
Ahlgrén;125;127;2
Ahlholm;303;302;2
Ahlkvist;33;30;1
Ahllund;24;25;1
Ahlman;156;157;2
Ahlmark;47;43;1
Ahlnäs;83;88;1
Ahlqvist;849;859;2
Ahlroos;276;274;2
Ahlroth;296;300;2
Ahlskog;455;454;2
Ahlstedt;338;350;2
Ahlsten;181;181;2
Ahlstén;31;29;1
Ahlstrand;108;108;2
Ahlström;412;419;2
